"Contract Type","Contract Name","Clearing Quantity (MWh)"
"Block","PB19011409-01","69.70"
"Hourly","PH19011409","168.40"
"Block","PB19011409-03","3.50"
"Block","PB19011410-01","59.10"
"Hourly","PH19011410","202.10"
"Hourly","PH19011411","385.70"
"Block","PB19011411-01","71.40"
"Block","PB19011412-01","97.00"
"Hourly","PH19011412","272.50"
"Block","PB19011413-01","112.30"
"Hourly","PH19011413","287.20"
"Block","PB19011414-01","128.20"
"Hourly","PH19011414","322.60"
"Block","PB19011415-01","109.60"
"Hourly","PH19011415","372.50"
"Block","PB19011416-01","146.60"
"Hourly","PH19011416","335.50"
"Hourly","PH19011417","366.90"
"Block","PB19011417-01","137.70"
"Block","PB19011417-02","4.50"
"Block","PB19011418-02","14.00"
"Block","PB19011418-01","81.50"
"Hourly","PH19011418","309.60"
"Block","PB19011419-01","102.60"
"Hourly","PH19011419","234.20"
"Block","PB19011420-01","103.00"
"Hourly","PH19011420","371.50"
"Block","PB19011421-01","82.70"
"Hourly","PH19011421","426.60"
"Hourly","PH19011422","464.60"
"Block","PB19011422-01","89.50"
"Hourly","PH19011423","632.10"
"Block","PB19011423-01","62.00"
"Block","PB19011500-01","51.30"
"Hourly","PH19011500","568.00"
"Block","PB19011501-01","77.10"
"Hourly","PH19011501","242.30"
"Block","PB19011502-01","72.80"
"Hourly","PH19011502","479.80"
"Hourly","PH19011503","475.70"
"Block","PB19011503-01","39.20"
"Block","PB19011504-01","56.70"
"Hourly","PH19011504","286.00"
"Hourly","PH19011505","274.60"
"Block","PB19011505-01","45.10"
"Block","PB19011506-01","61.20"
"Hourly","PH19011506","217.40"
"Hourly","PH19011507","404.70"
"Block","PB19011507-01","74.40"
"Block","PB19011508-01","109.90"
"Hourly","PH19011508","281.60"
"Hourly","PH19011509","246.80"
"Block","PB19011509-02","70.00"
"Block","PB19011509-01","128.40"
"Block","PB19011510-01","90.60"
"Hourly","PH19011510","248.10"
"Block","PB19011511-01","71.70"
"Hourly","PH19011511","349.60"
"Block","PB19011512-01","65.40"
"Hourly","PH19011512","511.40"
"Hourly","PH19011513","554.50"
"Block","PB19011513-01","64.60"
"Block","PB19011514-01","93.40"
"Hourly","PH19011514","479.10"
"Block","PB19011515-01","495.30"
"Hourly","PH19011515","523.30"
"Hourly","PH19011516","411.20"
"Block","PB19011516-01","514.60"
"Hourly","PH19011517","329.90"
"Block","PB19011517-01","78.90"
"Block","PB19011517-03","403.00"
"Block","PB19011517-07","5.80"
"Block","PB19011518-01","85.20"
"Hourly","PH19011518","382.50"
"Block","PB19011519-05","20.00"
"Hourly","PH19011519","860.70"
"Block","PB19011519-01","70.10"
"Hourly","PH19011520","778.90"
"Block","PB19011520-01","172.80"
"Block","PB19011521-01","149.50"
"Hourly","PH19011521","836.20"
"Block","PB19011522-01","194.20"
"Hourly","PH19011522","793.60"
