"Contract Type","Contract Name","Bid Quantity (MWh)","Offer Quantity (MWh)"
"Hourly","PH19102722","483.20","622.30"
"Block","PB19102722-01","334.40","359.70"
"Block","PB19102723-01","287.20","299.00"
"Hourly","PH19102723","491.40","713.10"
"Block","PB19102800-01","182.10","179.10"
"Block","PB19102800-07","4.00","0.00"
"Hourly","PH19102800","149.30","941.90"
"Block","PB19102800-05","4.00","4.00"
"Hourly","PH19102801","279.00","454.40"
"Block","PB19102801-01","173.80","173.80"
"Hourly","PH19102802","419.00","1,073.80"
"Block","PB19102802-01","168.50","191.50"
"Block","PB19102803-01","162.80","162.80"
"Hourly","PH19102803","266.70","984.20"
"Block","PB19102804-01","138.80","138.80"
"Hourly","PH19102804","375.30","881.70"
"Hourly","PH19102805","372.60","634.60"
"Block","PB19102805-01","146.90","146.90"
"Hourly","PH19102806","310.30","673.70"
"Block","PB19102806-01","159.80","159.80"
"Block","PB19102806-02","9.00","9.00"
"Block","PB19102807-04","346.00","346.00"
"Hourly","PH19102807","354.50","425.10"
"Block","PB19102807-01","171.80","171.80"
"Block","PB19102808-01","189.70","199.70"
"Hourly","PH19102808","284.20","444.50"
"Hourly","PH19102809","353.90","543.90"
"Block","PB19102809-01","155.50","155.50"
"Block","PB19102810-01","192.50","192.50"
"Hourly","PH19102810","380.50","607.50"
"Block","PB19102811-01","178.40","178.40"
"Hourly","PH19102811","807.00","778.40"
"Block","PB19102812-01","120.10","120.10"
"Hourly","PH19102812","1,044.50","596.60"
"Block","PB19102813-01","193.40","165.50"
"Hourly","PH19102813","1,750.10","784.70"
"Hourly","PH19102814","2,270.00","912.80"
"Block","PB19102814-01","238.70","99.50"
"Hourly","PH19102815","1,911.00","1,021.20"
"Block","PB19102815-01","143.40","112.40"
"Hourly","PH19102816","3,487.10","1,118.30"
"Block","PB19102816-01","148.30","116.00"
"Hourly","PH19102817","3,817.40","1,115.00"
"Block","PB19102817-01","165.80","122.10"
"Block","PB19102818-01","178.10","141.40"
"Hourly","PH19102818","1,603.50","901.60"
"Block","PB19102819-01","198.30","152.20"
"Hourly","PH19102819","1,439.80","831.20"
"Hourly","PH19102820","1,807.60","789.40"
"Block","PB19102820-01","333.60","103.60"
"Block","PB19102821-01","152.60","113.00"
"Hourly","PH19102821","1,425.20","703.10"
"Hourly","PH19102822","1,469.10","639.70"
"Block","PB19102822-01","216.40","143.20"
"Hourly","PH19102823","2,032.00","1,029.30"
"Block","PB19102823-01","210.50","134.50"
"Block","PB19102900-03","20.00","21.00"
"Hourly","PH19102900","205.30","453.70"
"Block","PB19102900-01","207.90","207.90"
"Block","PB19102901-01","180.60","180.60"
"Hourly","PH19102901","350.00","247.30"
"Block","PB19102902-01","196.90","197.90"
"Hourly","PH19102902","370.20","946.20"
"Block","PB19102903-04","4.10","4.10"
"Hourly","PH19102903","284.70","544.80"
"Block","PB19102903-01","110.20","110.20"
"Hourly","PH19102904","187.20","1,444.50"
"Block","PB19102904-01","99.20","99.20"
"Hourly","PH19102905","202.10","297.80"
"Block","PB19102905-01","112.80","112.80"
"Block","PB19102906-01","139.90","139.90"
"Hourly","PH19102906","468.50","266.30"
"Hourly","PH19102907","486.00","253.30"
"Block","PB19102907-01","135.80","135.80"
"Hourly","PH19102908","1,130.00","198.80"
"Block","PB19102908-01","145.30","145.30"
"Hourly","PH19102909","1,206.10","1,551.80"
"Block","PB19102909-01","141.40","141.40"
"Hourly","PH19102910","2,167.60","381.30"
"Block","PB19102910-01","125.60","125.60"
"Block","PB19102910-07","25.00","25.00"
"Block","PB19102911-01","145.50","119.10"
"Block","PB19102911-04","4.60","4.60"
"Hourly","PH19102911","2,336.90","236.10"
"Block","PB19102912-01","114.60","97.00"
"Hourly","PH19102912","2,843.70","3,654.70"
"Hourly","PH19102913","1,948.40","710.20"
"Block","PB19102913-01","148.70","125.40"
"Hourly","PH19102914","1,268.20","781.40"
"Block","PB19102914-01","144.20","118.40"
"Block","PB19102915-01","109.30","84.90"
"Hourly","PH19102915","1,164.00","1,418.40"
"Hourly","PH19102916","1,383.60","609.80"
"Block","PB19102916-01","128.30","128.30"
"Block","PB19102917-01","146.20","123.60"
"Hourly","PH19102917","1,325.50","672.70"
"Hourly","PH19102918","1,092.90","709.50"
"Block","PB19102918-01","106.30","106.30"
"Block","PB19102919-01","107.60","108.60"
"Hourly","PH19102919","952.40","688.70"
"Hourly","PH19102920","1,192.30","755.60"
"Block","PB19102920-01","123.80","123.80"
"Block","PB19102921-01","151.90","132.20"
"Hourly","PH19102921","1,161.00","749.70"
"Block","PB19102922-01","172.40","143.10"
"Hourly","PH19102922","1,207.10","832.10"
"Block","PB19102923-01","113.30","143.40"
"Hourly","PH19102923","1,079.00","1,407.10"
"Block","PB19103000-01","156.00","129.30"
"Hourly","PH19103000","450.00","282.70"
"Block","PB19103001-01","128.50","98.50"
"Hourly","PH19103001","418.40","133.50"
"Block","PB19103002-01","85.40","84.20"
"Hourly","PH19103002","396.40","422.00"
"Hourly","PH19103003","448.00","660.70"
"Block","PB19103003-01","119.20","107.10"
"Hourly","PH19103004","620.60","627.80"
"Block","PB19103004-01","129.50","130.30"
"Block","PB19103005-01","95.30","95.40"
"Hourly","PH19103005","365.60","271.90"
"Block","PB19103006-01","75.30","75.80"
"Hourly","PH19103006","534.00","307.40"
"Block","PB19103007-01","76.90","77.00"
"Hourly","PH19103007","661.90","240.20"
"Block","PB19103008-01","76.50","76.60"
"Hourly","PH19103008","992.80","725.10"
"Block","PB19103009-01","82.40","82.60"
"Hourly","PH19103009","1,020.00","911.30"
"Hourly","PH19103010","1,237.70","1,632.80"
"Block","PB19103010-01","87.80","88.20"
"Block","PB19103011-01","104.80","105.50"
"Hourly","PH19103011","1,435.40","1,465.90"
"Hourly","PH19103012","1,861.60","2,002.20"
"Block","PB19103012-01","98.00","115.60"
"Hourly","PH19103013","2,126.80","1,625.10"
"Block","PB19103013-01","68.80","68.80"
"Hourly","PH19103014","1,200.60","1,520.90"
"Block","PB19103014-01","68.20","68.20"
"Block","PB19103015-01","118.70","101.40"
"Hourly","PH19103015","1,268.40","1,768.40"
"Hourly","PH19103016","1,353.80","884.50"
"Block","PB19103016-01","109.60","109.80"
"Block","PB19103017-01","187.20","157.40"
"Block","PB19103017-03","2.00","2.00"
"Hourly","PH19103017","1,290.80","943.50"
"Hourly","PH19103018","1,600.50","678.70"
"Block","PB19103018-01","178.10","129.80"
"Hourly","PH19103019","1,641.10","1,002.60"
"Block","PB19103019-01","176.50","145.90"
"Hourly","PH19103020","1,410.60","1,069.60"
"Block","PB19103020-01","182.30","154.60"
"Block","PB19103021-01","176.50","147.20"
"Hourly","PH19103021","1,305.40","1,053.30"
"Hourly","PH19103022","1,283.60","848.10"
"Block","PB19103022-01","208.40","180.40"
"Hourly","PH19103023","1,858.40","1,095.40"
"Block","PB19103023-01","202.90","158.00"
"Block","PB19103100-01","115.40","113.10"
"Hourly","PH19103100","276.30","775.10"
"Block","PB19103101-01","129.10","108.00"
"Hourly","PH19103101","398.80","262.40"
"Block","PB19103102-01","133.00","111.60"
"Hourly","PH19103102","345.30","333.00"
"Hourly","PH19103103","216.70","1,803.70"
"Block","PB19103103-01","116.00","103.70"
"Hourly","PH19103104","252.00","2,092.10"
"Block","PB19103104-01","85.50","85.30"
"Hourly","PH19103105","382.00","221.50"
"Block","PB19103105-01","106.20","86.40"
"Hourly","PH19103106","265.10","588.40"
"Block","PB19103106-01","95.00","116.00"
"Block","PB19103107-01","117.60","114.20"
"Hourly","PH19103107","388.50","391.30"
"Hourly","PH19103108","531.80","339.80"
"Block","PB19103108-01","122.90","116.50"
"Hourly","PH19103109","505.30","518.40"
"Block","PB19103109-01","123.00","117.10"
"Hourly","PH19103110","644.30","255.40"
"Block","PB19103110-01","125.60","101.50"
"Block","PB19103111-01","130.10","102.00"
"Hourly","PH19103111","1,459.90","319.70"
"Block","PB19103112-01","185.80","131.00"
"Hourly","PH19103112","1,051.80","522.70"
"Hourly","PH19103113","1,007.90","584.90"
"Block","PB19103113-01","244.70","165.10"
"Block","PB19103114-01","115.80","108.50"
"Hourly","PH19103114","907.10","734.50"
"Block","PB19103115-01","191.90","155.00"
"Hourly","PH19103115","959.20","657.30"
"Hourly","PH19103116","989.20","686.40"
"Block","PB19103116-01","147.50","148.20"
"Hourly","PH19103117","1,010.30","1,094.10"
"Block","PB19103117-03","2.10","2.10"
"Block","PB19103117-01","257.90","314.50"
"Block","PB19103118-01","257.90","260.50"
"Hourly","PH19103118","992.40","827.20"
"Block","PB19103119-01","264.30","347.20"
"Hourly","PH19103119","1,033.30","932.60"
"Block","PB19103120-01","269.10","368.10"
"Hourly","PH19103120","817.70","897.90"
"Hourly","PH19103121","1,645.50","1,153.70"
"Block","PB19103121-01","315.80","428.00"
"Hourly","PH19103122","761.70","964.60"
"Block","PB19103122-01","322.60","477.20"
"Hourly","PH19103123","755.90","970.10"
"Block","PB19103123-01","381.20","589.40"
"Block","PB19110100-02","10.00","10.00"
"Block","PB19110100-01","403.00","507.60"
"Hourly","PH19110100","234.10","1,104.80"
"Block","PB19110101-06","1.00","2.00"
"Block","PB19110101-05","0.00","2.00"
"Block","PB19110101-01","426.80","714.40"
"Hourly","PH19110101","268.40","815.70"
"Block","PB19110102-01","432.50","719.60"
"Hourly","PH19110102","230.80","713.30"
"Block","PB19110103-01","446.20","671.70"
"Hourly","PH19110103","272.60","741.70"
"Block","PB19110104-01","493.70","737.40"
"Hourly","PH19110104","306.30","713.70"
"Block","PB19110105-01","463.40","637.20"
"Hourly","PH19110105","302.90","719.20"
"Block","PB19110106-01","516.30","723.90"
"Hourly","PH19110106","358.90","758.10"
"Block","PB19110107-01","513.60","782.30"
"Hourly","PH19110107","392.00","1,148.30"
"Block","PB19110108-01","522.40","673.70"
"Hourly","PH19110108","396.90","1,008.80"
"Block","PB19110109-01","499.10","615.20"
"Hourly","PH19110109","485.20","947.30"
"Block","PB19110110-01","548.50","695.70"
"Hourly","PH19110110","653.90","985.50"
"Block","PB19110111-01","642.60","880.70"
"Hourly","PH19110111","846.50","1,296.20"
"Hourly","PH19110112","1,194.90","1,407.00"
"Block","PB19110112-01","736.80","1,045.80"
"Block","PB19110113-01","782.10","16,096.90"
"Hourly","PH19110113","1,235.90","1,712.70"
"Block","PB19110114-01","724.20","993.90"
"Hourly","PH19110114","1,206.90","1,872.20"
"Block","PB19110115-01","749.60","906.90"
"Hourly","PH19110115","1,679.10","2,085.10"
"Block","PB19110116-01","666.60","893.10"
"Hourly","PH19110116","2,013.30","1,613.50"
"Block","PB19110117-01","510.90","509.00"
"Block","PB19110117-07","1.00","1.00"
"Hourly","PH19110117","1,555.80","1,447.90"
"Hourly","PH19110118","1,934.40","1,403.10"
"Block","PB19110118-01","482.20","474.90"
"Block","PB19110119-01","534.00","469.40"
"Hourly","PH19110119","1,262.70","1,112.40"
"Block","PB19110120-01","459.90","447.80"
"Block","PB19110120-04","2.00","2.00"
"Hourly","PH19110120","1,073.40","1,229.80"
"Block","PB19110121-01","425.40","409.10"
"Hourly","PH19110121","1,055.40","2,236.80"
"Block","PB19110122-01","421.00","477.20"
"Hourly","PH19110122","2,542.60","1,705.00"
"Block","PB19110123-01","544.30","724.50"
"Hourly","PH19110123","2,000.50","1,730.40"
"Block","PB19110200-01","300.90","332.10"
"Hourly","PH19110200","368.60","343.80"
"Block","PB19110200-08","1.10","1.10"
"Hourly","PH19110201","452.70","419.50"
"Block","PB19110201-01","357.60","350.70"
"Block","PB19110202-01","295.20","295.20"
"Hourly","PH19110202","1,424.80","785.90"
"Hourly","PH19110203","579.80","535.20"
"Block","PB19110203-01","323.10","326.00"
"Block","PB19110204-01","323.00","324.50"
"Hourly","PH19110204","689.30","585.70"
"Block","PB19110205-01","338.90","338.90"
"Hourly","PH19110205","681.60","699.30"
"Block","PB19110206-01","289.70","289.70"
"Hourly","PH19110206","559.80","602.10"
"Block","PB19110207-01","398.40","398.40"
"Hourly","PH19110207","1,174.20","2,684.80"
"Block","PB19110208-01","412.40","412.40"
"Hourly","PH19110208","2,050.00","2,111.80"
"Block","PB19110209-01","363.10","364.10"
"Hourly","PH19110209","416.80","879.20"
"Block","PB19110210-01","390.10","392.10"
"Hourly","PH19110210","671.00","1,002.90"
"Block","PB19110211-01","254.40","259.40"
"Hourly","PH19110211","1,025.50","1,242.40"
"Block","PB19110212-02","5.00","6.00"
"Block","PB19110212-01","233.10","288.10"
"Hourly","PH19110212","736.50","1,023.80"
"Hourly","PH19110213","626.90","1,347.20"
"Block","PB19110213-01","208.70","206.20"
"Block","PB19110214-02","5.00","6.00"
"Block","PB19110214-01","224.70","394.30"
"Hourly","PH19110214","625.00","1,297.40"
"Block","PB19110215-01","210.20","630.30"
"Hourly","PH19110215","577.40","1,845.60"
"Block","PB19110216-01","252.60","374.10"
"Hourly","PH19110216","518.20","2,157.10"
"Block","PB19110217-01","292.70","388.30"
"Hourly","PH19110217","670.00","2,402.20"
"Block","PB19110218-01","319.70","363.10"
"Hourly","PH19110218","551.20","1,333.80"
"Block","PB19110219-01","286.80","407.30"
"Hourly","PH19110219","798.60","1,236.40"
"Block","PB19110220-01","224.30","196.70"
"Hourly","PH19110220","865.40","1,061.00"
"Hourly","PH19110221","783.80","981.10"
"Block","PB19110221-01","209.10","177.60"
"Hourly","PH19110222","1,019.80","1,006.50"
"Block","PB19110222-01","171.80","173.30"
"Block","PB19110223-01","200.20","242.10"
"Hourly","PH19110223","607.30","1,304.40"
"Block","PB19110300-01","131.20","146.10"
"Hourly","PH19110300","281.10","984.80"
"Block","PB19110301-01","135.80","146.60"
"Hourly","PH19110301","383.10","426.00"
"Block","PB19110302-01","141.40","170.50"
"Hourly","PH19110302","345.00","520.50"
"Block","PB19110303-01","148.50","186.60"
"Hourly","PH19110303","312.60","730.70"
"Block","PB19110304-01","182.70","213.90"
"Hourly","PH19110304","298.50","1,109.20"
"Block","PB19110305-01","141.90","191.70"
"Hourly","PH19110305","326.00","419.00"
"Block","PB19110306-01","150.10","223.00"
"Hourly","PH19110306","307.10","492.20"
"Block","PB19110307-01","175.00","237.50"
"Hourly","PH19110307","815.10","681.90"
"Block","PB19110308-01","174.50","245.00"
"Hourly","PH19110308","121.10","2,805.00"
"Block","PB19110309-01","141.90","176.20"
"Hourly","PH19110309","248.80","2,195.30"
"Block","PB19110310-02","1.50","1.50"
"Block","PB19110310-01","162.00","242.80"
"Hourly","PH19110310","271.00","1,957.30"
"Block","PB19110311-01","162.80","180.90"
"Hourly","PH19110311","1,721.60","2,752.30"
"Block","PB19110312-02","1.50","1.50"
"Block","PB19110312-01","250.20","187.50"
"Hourly","PH19110312","1,655.50","1,531.40"
"Block","PB19110313-01","335.60","292.20"
"Hourly","PH19110313","2,300.60","2,271.00"
"Block","PB19110314-03","1.50","1.50"
"Block","PB19110314-01","226.60","214.40"
"Hourly","PH19110314","1,517.90","2,001.10"
"Block","PB19110315-01","365.20","479.00"
"Hourly","PH19110315","1,378.70","2,125.80"
"Block","PB19110316-01","335.10","316.80"
"Hourly","PH19110316","923.20","1,654.60"
"Block","PB19110317-01","323.60","311.70"
"Hourly","PH19110317","988.00","2,387.90"
"Block","PB19110318-01","296.60","295.10"
"Hourly","PH19110318","1,162.00","3,102.00"
"Block","PB19110319-02","2.00","2.00"
"Block","PB19110319-01","291.80","244.80"
"Hourly","PH19110319","1,382.80","2,864.60"
"Block","PB19110320-01","373.70","292.60"
"Hourly","PH19110320","888.50","2,651.10"
"Block","PB19110321-03","2.00","2.00"
"Hourly","PH19110321","969.40","2,750.50"
"Block","PB19110321-01","352.40","341.70"
"Block","PB19110322-01","421.80","312.00"
"Hourly","PH19110322","1,758.20","2,290.90"
"Block","PB19110323-01","311.90","293.60"
"Hourly","PH19110323","2,454.10","2,808.90"
"Hourly","PH19110400","212.60","528.20"
"Block","PB19110400-01","294.80","393.60"
"Hourly","PH19110401","247.30","335.80"
"Block","PB19110401-01","211.70","210.80"
"Hourly","PH19110402","256.40","604.80"
"Block","PB19110402-01","303.20","254.50"
"Block","PB19110402-03","21.00","42.00"
"Hourly","PH19110403","267.80","509.30"
"Block","PB19110403-01","271.40","350.30"
"Block","PB19110403-02","21.00","42.00"
"Hourly","PH19110404","195.10","711.20"
"Block","PB19110404-01","297.70","378.50"
"Block","PB19110405-02","0.50","0.50"
"Block","PB19110405-01","202.60","272.00"
"Hourly","PH19110405","208.60","809.40"
"Block","PB19110406-01","250.40","315.60"
"Hourly","PH19110406","477.40","878.50"
"Block","PB19110407-01","267.50","275.70"
"Hourly","PH19110407","645.60","849.00"
"Block","PB19110408-01","234.30","230.60"
"Hourly","PH19110408","463.10","338.70"
"Hourly","PH19110409","745.60","487.70"
"Block","PB19110409-01","177.50","177.50"
"Block","PB19110410-01","241.50","223.90"
"Hourly","PH19110410","821.00","643.20"
"Block","PB19110411-01","301.10","285.60"
"Hourly","PH19110411","1,041.20","854.90"
"Block","PB19110412-01","408.20","312.10"
"Hourly","PH19110412","1,822.30","1,174.00"
"Block","PB19110413-01","421.10","333.80"
"Block","PB19110413-10","32.50","10.00"
"Block","PB19110413-11","25.00","25.00"
"Hourly","PH19110413","1,741.10","2,481.00"
"Hourly","PH19110414","2,002.70","1,027.50"
"Block","PB19110414-01","372.60","274.00"
"Hourly","PH19110415","1,925.30","1,053.80"
"Block","PB19110415-01","430.10","289.10"
"Block","PB19110416-01","568.70","319.70"
"Hourly","PH19110416","1,615.70","881.50"
"Block","PB19110417-01","474.70","300.80"
"Hourly","PH19110417","3,382.00","990.00"
"Block","PB19110417-02","1.50","1.50"
"Block","PB19110418-06","103.30","88.30"
"Block","PB19110418-01","1,083.10","283.80"
"Hourly","PH19110418","3,146.40","1,059.60"
"Block","PB19110419-01","522.60","295.90"
"Block","PB19110419-05","0.10","0.00"
"Hourly","PH19110419","2,767.10","1,393.80"
"Block","PB19110420-01","309.40","243.50"
"Hourly","PH19110420","2,571.30","775.40"
"Block","PB19110421-01","322.20","229.80"
"Hourly","PH19110421","4,352.50","880.10"
"Block","PB19110422-01","230.60","217.50"
"Hourly","PH19110422","3,258.10","2,237.30"
"Block","PB19110423-01","340.70","249.70"
"Hourly","PH19110423","5,719.70","2,142.70"
"Block","PB19110500-01","202.50","220.40"
"Hourly","PH19110500","350.50","814.10"
"Hourly","PH19110501","865.70","459.00"
"Block","PB19110501-01","237.10","257.60"
"Hourly","PH19110502","317.30","379.30"
"Block","PB19110502-01","283.20","341.40"
"Hourly","PH19110503","328.50","950.50"
"Block","PB19110503-01","282.10","417.30"
"Block","PB19110503-21","0.80","0.80"
"Block","PB19110504-01","231.90","313.40"
"Hourly","PH19110504","342.40","801.90"
"Hourly","PH19110505","240.90","699.10"
"Block","PB19110505-01","285.00","315.40"
"Block","PB19110506-01","344.30","326.40"
"Hourly","PH19110506","676.30","587.30"
"Hourly","PH19110507","728.60","275.90"
"Block","PB19110507-01","329.30","295.00"
"Block","PB19110508-01","302.30","292.80"
"Hourly","PH19110508","545.30","550.90"
"Hourly","PH19110509","486.80","368.50"
"Block","PB19110509-01","369.60","332.50"
"Block","PB19110510-01","360.70","331.00"
"Hourly","PH19110510","1,441.60","673.90"
"Hourly","PH19110511","1,568.90","724.80"
"Block","PB19110511-01","387.10","363.20"
"Block","PB19110512-01","503.70","420.90"
"Hourly","PH19110512","1,226.80","5,264.30"
"Hourly","PH19110513","984.00","1,076.10"
"Block","PB19110513-01","516.60","483.50"
"Block","PB19110514-01","341.70","344.80"
"Hourly","PH19110514","1,875.10","1,054.20"
"Hourly","PH19110515","1,648.80","1,062.40"
"Block","PB19110515-01","205.80","267.90"
"Block","PB19110516-01","357.50","349.20"
"Hourly","PH19110516","2,208.80","1,434.50"
"Hourly","PH19110517","2,564.80","1,372.70"
"Block","PB19110517-01","361.00","279.50"
"Block","PB19110518-01","323.60","281.30"
"Hourly","PH19110518","3,113.00","1,636.30"
"Hourly","PH19110519","1,853.00","1,062.10"
"Block","PB19110519-01","281.60","282.10"
"Hourly","PH19110520","2,132.50","831.00"
"Block","PB19110520-01","315.20","336.80"
"Hourly","PH19110521","2,001.60","814.20"
"Block","PB19110521-01","308.30","454.60"
"Hourly","PH19110522","1,821.10","868.40"
"Block","PB19110522-01","303.30","383.80"
"Block","PB19110523-01","294.00","396.80"
"Hourly","PH19110523","616.70","1,106.20"
"Hourly","PH19110600","367.40","471.00"
"Block","PB19110600-03","13.80","13.80"
"Block","PB19110600-01","255.20","329.70"
"Hourly","PH19110601","382.90","468.10"
"Block","PB19110601-01","198.00","234.70"
"Block","PB19110602-01","207.00","206.50"
"Block","PB19110602-22","0.30","0.30"
"Hourly","PH19110602","899.10","603.60"
"Hourly","PH19110603","1,380.40","979.90"
"Block","PB19110603-01","242.50","240.30"
"Block","PB19110604-01","257.50","256.50"
"Hourly","PH19110604","1,439.00","676.00"
"Block","PB19110605-01","248.90","248.40"
"Hourly","PH19110605","1,269.30","673.90"
"Hourly","PH19110606","1,239.70","516.60"
"Block","PB19110606-01","244.70","244.40"
"Block","PB19110607-01","213.10","212.20"
"Hourly","PH19110607","1,423.80","843.30"
"Block","PB19110608-01","195.80","191.30"
"Hourly","PH19110608","1,214.30","517.80"
"Block","PB19110609-01","211.50","207.00"
"Hourly","PH19110609","712.30","460.60"
"Block","PB19110610-01","250.90","247.60"
"Hourly","PH19110610","1,076.00","579.40"
"Block","PB19110611-01","280.00","255.00"
"Hourly","PH19110611","1,237.90","730.10"
"Block","PB19110611-04","100.00","0.00"
"Block","PB19110612-01","270.70","270.70"
"Hourly","PH19110612","1,447.00","2,375.40"
"Block","PB19110613-01","371.50","283.80"
"Hourly","PH19110613","2,340.90","1,665.90"
"Block","PB19110613-02","100.00","0.00"
"Hourly","PH19110614","1,068.80","1,791.10"
"Block","PB19110614-01","261.20","622.00"
"Block","PB19110614-02","10.00","10.00"
"Hourly","PH19110615","646.50","697.90"
"Block","PB19110615-01","214.20","308.00"
"Block","PB19110616-01","249.30","301.60"
"Hourly","PH19110616","734.90","925.00"
"Hourly","PH19110617","832.20","849.60"
"Block","PB19110617-01","229.90","390.80"
"Block","PB19110617-03","12.00","12.00"
"Block","PB19110618-01","270.90","910.20"
"Hourly","PH19110618","1,473.90","1,193.40"
"Hourly","PH19110619","901.50","802.60"
"Block","PB19110619-01","324.00","509.20"
"Hourly","PH19110620","837.60","651.80"
"Block","PB19110620-01","297.30","817.10"
"Block","PB19110620-03","20.00","20.00"
"Block","PB19110621-01","296.00","394.80"
"Hourly","PH19110621","618.90","564.50"
"Block","PB19110622-01","295.20","368.80"
"Hourly","PH19110622","447.10","718.70"
"Block","PB19110623-01","316.70","418.10"
"Hourly","PH19110623","891.80","693.30"
"Hourly","PH19110700","445.10","992.20"
"Block","PB19110700-01","256.30","251.80"
"Hourly","PH19110701","449.10","762.20"
"Block","PB19110701-01","343.90","322.40"
"Hourly","PH19110702","778.10","620.30"
"Block","PB19110702-01","253.60","240.20"
"Hourly","PH19110703","416.50","923.50"
"Block","PB19110703-01","228.80","244.50"
"Hourly","PH19110704","452.10","888.10"
"Block","PB19110704-01","241.00","242.80"
"Block","PB19110705-01","264.70","260.90"
"Hourly","PH19110705","496.70","480.30"
"Block","PB19110706-01","284.10","256.80"
"Hourly","PH19110706","492.20","473.20"
"Hourly","PH19110707","528.90","354.10"
"Block","PB19110707-01","290.40","225.20"
"Hourly","PH19110708","292.70","146.20"
"Block","PB19110708-01","308.60","223.10"
"Block","PB19110709-01","288.20","240.70"
"Hourly","PH19110709","303.90","159.00"
"Block","PB19110710-01","255.50","196.00"
"Hourly","PH19110710","647.70","203.40"
"Hourly","PH19110711","644.10","379.90"
"Block","PB19110711-01","266.10","239.00"
"Hourly","PH19110712","525.90","1,893.70"
"Block","PB19110712-01","193.60","193.60"
"Block","PB19110713-01","256.00","275.90"
"Hourly","PH19110713","865.90","1,492.10"
"Block","PB19110714-01","245.60","373.40"
"Hourly","PH19110714","598.80","745.50"
"Hourly","PH19110715","658.00","775.10"
"Block","PB19110715-01","261.50","319.40"
"Hourly","PH19110716","895.60","809.20"
"Block","PB19110716-01","259.10","313.70"
"Block","PB19110717-01","227.80","217.10"
"Hourly","PH19110717","782.60","657.30"
"Block","PB19110718-06","1.40","1.40"
"Block","PB19110718-01","366.40","249.90"
"Hourly","PH19110718","1,837.50","1,003.40"
"Block","PB19110719-01","312.80","254.30"
"Hourly","PH19110719","1,143.80","535.30"
"Block","PB19110720-01","361.20","281.60"
"Hourly","PH19110720","1,020.20","438.90"
"Hourly","PH19110721","892.20","391.60"
"Block","PB19110721-01","465.30","308.70"
"Hourly","PH19110722","1,091.50","444.40"
"Block","PB19110722-01","446.50","292.80"
"Block","PB19110723-01","358.60","300.20"
"Hourly","PH19110723","1,746.60","925.80"
"Hourly","PH19110800","441.80","368.10"
"Block","PB19110800-01","281.10","244.80"
"Block","PB19110801-01","247.80","246.30"
"Block","PB19110801-07","4.00","0.00"
"Hourly","PH19110801","767.00","189.40"
"Block","PB19110802-01","249.80","248.30"
"Hourly","PH19110802","1,477.50","234.40"
"Hourly","PH19110803","1,224.70","468.70"
"Block","PB19110803-01","258.70","256.90"
"Block","PB19110804-01","253.60","252.70"
"Hourly","PH19110804","1,290.10","421.70"
"Hourly","PH19110805","1,431.60","547.20"
"Block","PB19110805-01","264.40","263.40"
"Block","PB19110806-01","268.60","267.10"
"Hourly","PH19110806","785.10","718.00"
"Block","PB19110807-01","253.90","253.20"
"Hourly","PH19110807","1,040.30","620.10"
"Block","PB19110808-01","253.70","252.90"
"Hourly","PH19110808","1,534.40","550.70"
"Hourly","PH19110809","1,651.40","570.80"
"Block","PB19110809-01","274.20","271.60"
"Block","PB19110810-01","305.10","239.60"
"Hourly","PH19110810","1,874.80","580.00"
"Block","PB19110811-01","341.10","258.50"
"Hourly","PH19110811","1,181.10","541.70"
"Hourly","PH19110812","1,570.40","1,563.70"
"Block","PB19110812-01","314.40","293.80"
"Hourly","PH19110813","1,351.80","1,842.70"
"Block","PB19110813-01","248.30","247.10"
"Block","PB19110814-01","344.80","289.60"
"Hourly","PH19110814","1,297.20","643.80"
"Hourly","PH19110815","1,660.90","611.90"
"Block","PB19110815-01","705.10","287.00"
"Hourly","PH19110816","1,785.20","446.80"
"Block","PB19110816-01","391.10","298.50"
"Hourly","PH19110817","2,192.40","478.30"
"Block","PB19110817-01","442.30","342.90"
"Hourly","PH19110818","2,343.90","441.00"
"Block","PB19110818-01","518.10","365.40"
"Hourly","PH19110819","2,345.60","492.90"
"Block","PB19110819-01","430.00","334.00"
"Hourly","PH19110820","2,612.60","457.30"
"Block","PB19110820-01","358.60","267.20"
"Block","PB19110821-01","374.90","265.50"
"Hourly","PH19110821","2,866.40","556.90"
"Hourly","PH19110822","2,983.80","410.90"
"Block","PB19110822-01","437.20","308.30"
"Block","PB19110823-01","554.10","348.20"
"Hourly","PH19110823","3,060.90","369.10"
"Block","PB19110900-01","287.10","285.60"
"Block","PB19110900-03","7.00","14.00"
"Hourly","PH19110900","828.50","466.70"
"Block","PB19110901-01","261.10","260.20"
"Hourly","PH19110901","639.60","362.80"
"Hourly","PH19110902","680.10","323.70"
"Block","PB19110902-01","242.60","240.20"
"Block","PB19110903-03","4.00","4.00"
"Block","PB19110903-01","317.70","321.30"
"Hourly","PH19110903","814.90","283.30"
"Hourly","PH19110904","475.00","449.20"
"Block","PB19110904-01","211.80","180.30"
"Block","PB19110904-03","57.00","62.00"
"Block","PB19110905-01","217.90","215.60"
"Hourly","PH19110905","1,028.70","309.50"
"Hourly","PH19110906","1,086.10","650.30"
"Block","PB19110906-01","192.80","179.90"
"Block","PB19110907-01","160.50","154.60"
"Hourly","PH19110907","1,363.80","354.50"
"Block","PB19110907-02","7.00","14.00"
